"PERSON_ID","PERNAME1","PERNAME2","SEX","DOB_DAY","DOB_MON","DOB_YEAR","PERSONS","ADMIN","hse_num","ENUMCAP","ENUMPC","DWELLERS","str_nam","cap_add","AGE"
"DE03US001001","LOUIE","PRICE","M",1,6,1960,1,"0","         1","1 WINDSOR ROAD","DE03US"," 6","Windsor Road","1, Windsor Road",51
"DE03US001002","ABBIE","PRICE","F",9,11,1961,2,"0","         1","1 WINDSOR ROAD","DE03US"," 6","Windsor Road","1, Windsor Road",50
"DE03US001003","LACEY","PRICE","F",7,2,1999,3,"0","         1","1 WINDSOR ROAD","DE03US"," 6","Windsor Road","1, Windsor Road",12
"DE03US001004","SAMUEL","PRICE","M",13,4,1990,4,"0","         1","1 WINDSOR ROAD","DE03US"," 6","Windsor Road","1, Windsor Road",21
"DE03US001005","JOSEPH","PRICE","M",20,4,1986,5,"0","         1","1 WINDSOR ROAD","DE03US"," 6","Windsor Road","1, Windsor Road",25
"DE03US001006","JOSHUA","PRICE","M",14,2,1996,6,"0","         1","1 WINDSOR ROAD","DE03US"," 6","Windsor Road","1, Windsor Road",15
"DE03US002001","PAIGE","BELL","F",5,10,1969,1,"0","         2","2 WINDSOR ROAD","DE03US"," 1","Windsor Road","2, Windsor Road",42
"DE03US003001","NATHAN","RUSSELL","M",11,11,1934,1,"0","         3","3 WINDSOR ROAD","DE03US"," 1","Windsor Road","3, Windsor Road",77
"DE03US004001","ANNABEL","THOMSON","F",10,5,1918,1,"0","         4","4 WINDSOR ROAD","DE03US"," 1","Windsor Road","4, Windsor Road",93
"DE03US005001","MOLLY","WATSON","F",29,3,1964,1,"0","         5","5 WINDSOR ROAD","DE03US"," 1","Windsor Road","5, Windsor Road",47
"DE03US006001","ZAK","ROBINSON","M",24,8,1957,1,"0","         6","6 WINDSOR ROAD","DE03US"," 1","Windsor Road","6, Windsor Road",54
"DE03US007001","BLAKE","GRAHAM","M",23,1,1968,1,"0","         7","7 WINDSOR ROAD","DE03US"," 1","Windsor Road","7, Windsor Road",43
"DE03US008001","ZARA","WOOD","F",9,5,1953,1,"0","         8","8 WINDSOR ROAD","DE03US"," 1","Windsor Road","8, Windsor Road",58
"DE03US009001","TYLER","PALMER","M",4,11,1943,1,"0","         9","9 WINDSOR ROAD","DE03US"," 1","Windsor Road","9, Windsor Road",68
"DE03US010001","OSCAR","SHAW","M",2,3,2000,1,"0","        10","10 WINDSOR ROAD","DE03US"," 2","Windsor Road","10, Windsor Road",11
"DE03US010002","EVIE","SHAW","F",7,2,1955,2,"0","        10","10 WINDSOR ROAD","DE03US"," 2","Windsor Road","10, Windsor Road",56
"DE03US011001","LIAM","SHAW","M",20,11,1987,1,"0","        11","11 WINDSOR ROAD","DE03US"," 1","Windsor Road","11, Windsor Road",24
"DE03US012001","ZAK","ANDERSON","M",17,10,1976,1,"0","        12","12 WINDSOR ROAD","DE03US"," 5","Windsor Road","12, Windsor Road",35
"DE03US012002","NAOMI","ANDERSON","F",7,1,1977,2,"0","        12","12 WINDSOR ROAD","DE03US"," 5","Windsor Road","12, Windsor Road",34
"DE03US012003","MILLIE","ANDERSON","F",16,8,2001,3,"0","        12","12 WINDSOR ROAD","DE03US"," 5","Windsor Road","12, Windsor Road",10
"DE03US012004","LIAM","ANDERSON","M",28,9,1999,4,"0","        12","12 WINDSOR ROAD","DE03US"," 5","Windsor Road","12, Windsor Road",12
"DE03US012005","FRANCESCA","ANDERSON","F",25,5,2003,5,"0","        12","12 WINDSOR ROAD","DE03US"," 5","Windsor Road","12, Windsor Road",8
"DE03US013001","PATRYK","JONES","M",5,6,1954,1,"0","        13","13 WINDSOR ROAD","DE03US"," 3","Windsor Road","13, Windsor Road",57
"DE03US013002","MADISON","JONES","F",6,12,1953,2,"0","        13","13 WINDSOR ROAD","DE03US"," 3","Windsor Road","13, Windsor Road",58
"DE03US013003","CHARLOTTE","JONES","F",26,4,1974,3,"0","        13","13 WINDSOR ROAD","DE03US"," 3","Windsor Road","13, Windsor Road",37
"DE03US014001","EVIE","KING","F",3,10,2007,1,"0","        14","14 WINDSOR ROAD","DE03US"," 8","Windsor Road","14, Windsor Road",4
"DE03US014002","CHARLIE","KING","M",7,7,1976,2,"0","        14","14 WINDSOR ROAD","DE03US"," 8","Windsor Road","14, Windsor Road",35
"DE03US014003","BILLY","KING","M",2,7,1960,3,"0","        14","14 WINDSOR ROAD","DE03US"," 8","Windsor Road","14, Windsor Road",51
"DE03US014004","EVE","KING","F",25,3,1978,4,"0","        14","14 WINDSOR ROAD","DE03US"," 8","Windsor Road","14, Windsor Road",33
"DE03US014005","OLIVIA","KING","F",20,2,1971,5,"0","        14","14 WINDSOR ROAD","DE03US"," 8","Windsor Road","14, Windsor Road",40
"DE03US014006","GRACE","KING","F",22,1,1992,6,"0","        14","14 WINDSOR ROAD","DE03US"," 8","Windsor Road","14, Windsor Road",19
"DE03US014007","ELIZA","KING","F",3,1,1954,7,"0","        14","14 WINDSOR ROAD","DE03US"," 8","Windsor Road","14, Windsor Road",57
"DE03US014008","MOHAMMAD","KING","M",22,1,2000,8,"0","        14","14 WINDSOR ROAD","DE03US"," 8","Windsor Road","14, Windsor Road",11
"DE03US015001","BEN","MATTHEWS","M",9,8,1965,1,"0","        15","15 WINDSOR ROAD","DE03US"," 4","Windsor Road","15, Windsor Road",46
"DE03US015002","ELLIE","MATTHEWS","F",1,9,1964,2,"0","        15","15 WINDSOR ROAD","DE03US"," 4","Windsor Road","15, Windsor Road",47
"DE03US015003","SAMUEL","MATTHEWS","M",25,12,2002,3,"0","        15","15 WINDSOR ROAD","DE03US"," 4","Windsor Road","15, Windsor Road",9
"DE03US015004","MARTHA","MATTHEWS","F",14,4,1985,4,"0","        15","15 WINDSOR ROAD","DE03US"," 4","Windsor Road","15, Windsor Road",26
"DE03US016001","HARRY","THOMAS","M",24,8,1984,1,"0","        16","16 WINDSOR ROAD","DE03US"," 4","Windsor Road","16, Windsor Road",27
"DE03US016002","CHLOE","THOMAS","F",26,4,1987,2,"PRD","        16","16 WINDSOR ROAD","DE03US"," 4","Windsor Road","16, Windsor Road",24
"DE03US016003","THOMAS","THOMAS","M",23,9,2010,3,"0","        16","16 WINDSOR ROAD","DE03US"," 4","Windsor Road","16, Windsor Road",1
"DE03US016004","LAYLA","THOMAS","F",21,6,2010,4,"0","        16","16 WINDSOR ROAD","DE03US"," 4","Windsor Road","16, Windsor Road",1
"DE03US017001","MAX","BENNETT","M",24,11,1926,1,"0","        17","17 WINDSOR ROAD","DE03US"," 1","Windsor Road","17, Windsor Road",85
"DE03US018001","ZAKARIYA","HARVEY","M",20,9,1955,1,"0","        18","18 WINDSOR ROAD","DE03US"," 2","Windsor Road","18, Windsor Road",56
"DE03US018002","DAVID","HARVEY","M",18,6,1917,2,"0","        18","18 WINDSOR ROAD","DE03US"," 2","Windsor Road","18, Windsor Road",94
"DE03US019001","ALBERT","LEWIS","M",30,1,1996,1,"CIS","        19","19 WINDSOR ROAD","DE03US"," 2","Windsor Road","19, Windsor Road",15
"DE03US019002","BRANDON","LEWIS","M",17,2,1956,2,"0","        19","19 WINDSOR ROAD","DE03US"," 2","Windsor Road","19, Windsor Road",55
"DE03US020001","ELIZABETH","LEWIS","F",10,2,1937,1,"0","        20","20 WINDSOR ROAD","DE03US"," 1","Windsor Road","20, Windsor Road",74
"DE03US021001","JOSEPH","MURRAY","M",14,1,1949,1,"PRD","        21","21 WINDSOR ROAD","DE03US"," 1","Windsor Road","21, Windsor Road",62
"DE03UT022001","GEORGE","ROBERTS","M",19,5,1936,1,"0","        22","22 WINDSOR ROAD","DE03UT"," 1","Windsor Road","22, Windsor Road",75
"DE03UT023001","FINLEY","FOSTER","M",9,12,1945,1,"0","        23","23 WINDSOR ROAD","DE03UT"," 1","Windsor Road","23, Windsor Road",66
"DE03UT024001","JAYDEN","BAILEY","M",3,11,1963,1,"0","        24","24 WINDSOR ROAD","DE03UT"," 3","Windsor Road","24, Windsor Road",48
"DE03UT024002","SOPHIE","BAILEY","F",1,11,1966,2,"CIS","        24","24 WINDSOR ROAD","DE03UT"," 3","Windsor Road","24, Windsor Road",45
"DE03UT024003","MOHAMMAD","BAILEY","M",6,3,2005,3,"0","        24","24 WINDSOR ROAD","DE03UT"," 3","Windsor Road","24, Windsor Road",6
"DE03UT025001","REECE","SIMPSON","M",27,8,1951,1,"0","        25","25 WINDSOR ROAD","DE03UT"," 3","Windsor Road","25, Windsor Road",60
"DE03UT025002","ISABEL","SIMPSON","F",6,1,1951,2,"0","        25","25 WINDSOR ROAD","DE03UT"," 3","Windsor Road","25, Windsor Road",60
"DE03UT025003","KAI","SIMPSON","M",2,2,1975,3,"0","        25","25 WINDSOR ROAD","DE03UT"," 3","Windsor Road","25, Windsor Road",36
"DE03UT026001","KIERAN","MORRIS","M",30,8,1942,1,"0","        26","26 WINDSOR ROAD","DE03UT"," 1","Windsor Road","26, Windsor Road",69
